series,symbol,parameter,condition,min,typ,max,unit,#,confidence,basis,datasheet
CH32H415;CH32H416;CH32H417,ACC_HSI,Accuracy of HSI oscillator (after calibration),T_A = -40℃~85℃,-2.2,,2.2,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,ACC_HSI,Accuracy of HSI oscillator (after calibration),T_A = 0℃~70℃,-1.6,,1.6,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C,Suggested load capacitance with corresponding crystal serial impedance R S,R < 70kΩ S,,,15,pF,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_ADC,Internal sampling and holding capacitance,,,4.5,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_HSADC,Internal sampling and holding capacitance,,,1.1,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_L,Load capacitance when buffer is open,,,,50,pF,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_LOAD,Suggested load capacitance with corresponding crystal serial impedance R S,R = 60Ω(1) S,,20,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_in(HSE),XI input capacitance,,,5,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_in(LSE),OSC32_IN input capacitance,,,5,,pF,#,reference,CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_(HSE),Duty cycle,,,50,,%,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_HSI,Duty cycle,,45,50,55,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_LSE,Duty Cycle,,,50,,%,#,reference,CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_LSI,Duty Cycle,,45,50,55,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,ED,Differential nonlinear error,,,±2,±4,LSB,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,EL,Integral nonlinear error,,,±3,±4,LSB,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,EO,Offset error,"R < 0.4kΩ, AIN V = 3.3V DD33A",,±4,±9,LSB,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_CORE1,Core RISC-V5F frequency,LDO_VDDK = 011 (Default),,,400,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_CORE1,Core RISC-V5F frequency,LDO_VDDK = 101 (Performance mode),,,500,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_HCLK,Internal system bus frequency or core RISC-V3F frequency,LDO_VDDK = 011 (Default),,,160,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_HCLK,Internal system bus frequency or core RISC-V3F frequency,LDO_VDDK = 101 (Performance mode),,,200,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_HSE_ext,External clock frequency,,5,25,32,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_HSI,Frequency (after calibration),,,25,,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_LSE,Resonator frequency,,,32.768,,kHz,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_LSE_ext,User external clock frequency,,,32.768,,kHz,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_LSI,Frequency,,25,40,60,kHz,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_PLL_IN,PLL input clock,,5,25,32,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_PLL_OUT,PLL multiplier output clock,,100,,600,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_USBCLK,USB module clock frequency,USB in use,48,48,48,MHz,#,confirmed,CH32H417RM.PDF:zh(p.20)+CH32H417RM.PDF:en(p.26),CH32H417RM.PDF
CH32H415;CH32H416;CH32H417,F_XI,Resonator frequency,,5,25,32,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_BUF,ADC buffer own current,ADC_LP = 0,,0.76,,mA,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_BUF,ADC buffer own current,ADC_LP = 1,,0.19,,mA,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_DD(LSI),LSI oscillator power consumption,,,0.6,,uA,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_DD33A,ADC supply current (excluding buffer),ADC_LP = 0,,1.42,,mA,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_DD33A,ADC supply current (excluding buffer),ADC_LP = 1,,0.37,,mA,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_DDA,Supply current,,,1.1,,mA,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_DDA,"Buffer open without load, V = 3.6V, input value 0xF1C REFP",,,150,,uA,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_DDA,"Buffer opened without load, input value 0x800",,,170,,uA,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_DDIO,ADC I/O pin current,,,1.8,,mA,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_HSE,HSE drive current,,,0.8,,mA,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_L,XI input leakage current,,,,±1,uA,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_L,OSC32_IN input leakage current,,,,±1,uA,#,reference,CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_VREFP,"No load, when V = 3.6V, the input value is 0xF1C. REFP",,,194,,uA,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_VREFP,"No load, when VREFP = 3.6V, the input value is 0x555 (worst)",,,331,,uA,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_VREFP,"No load, input value 0x800",,,58,,uA,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,N_END,Endurance,T_A = 25℃,50K,,,Times,#,reference,CH32H417DS0.PDF:en(p.104),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_ADC,Sampling switch resistance,,,0.6,1.5,kΩ,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_AIN,External input impedance,,,,50,kΩ,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_AIN,External input impedance,,,,0.4,kΩ,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_F,Feedback resistance (No need for external),,,250,,kΩ,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_F,Feedback resistance,,,5,,MΩ,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_HSADC,Sampling switch resistance,,,0.1,0.25,kΩ,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_HSEXO_ext,Pull-down resistor externally connected to XO pin (used to configure the default output voltage of V during initial IO18 power-up),V default output 1.2V IO18,60,82,110,kΩ,#,reference,CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_HSEXO_ext,Pull-down resistor externally connected to XO pin (used to configure the default output voltage of V during initial IO18 power-up),V default output 1.8V IO18,1200,Floating,,kΩ,#,conflict,"CH32H417DS0.PDF:en(p.94)+!CH32H417DS0.PDF:zh(min=60,typ=82,max=110,unit=)",CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_HSEXO_ext,Pull-down resistor externally connected to XO pin (used to configure the default output voltage of V during initial IO18 power-up),V default output 2.5V IO18,220,300,400,kΩ,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,R_L,Load resistance when the buffer is open,,5,,,kΩ,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,T_A,Ambient temperature at work,,-40,,85,℃,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,T_J,Junction temperature,,-40,,105,℃,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_AIN,Conversion voltage range,V ＜ V REFP DDIO,0,,VREFP,V,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_AIN,Conversion voltage range,V_DDIO < V REFP,0,,VREFP,V,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_AIN,Conversion voltage range,V_DDIO ≥ V REFP,0,,VDDIO,V,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_AIN,Conversion voltage range,V_DDIO ≥ V REFP,0,,VDDIO,V,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_BAT,Working voltage of backup unit,,1.8,,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD12A,Working voltage of USB 3.0 module,,1.17,1.2,1.27,V,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33,Standard working voltage,USB or ETH not used,2.4,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33,Standard working voltage,Use USB or ETH or SerDes,3.15,3.3,3.45,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Supply voltage,,3.0,3.3,3.6,V,#,reference,CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Supply voltage,,2.4,3.3,3.6,V,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Analog part working voltage,"ADCs, HSADCs and DACs not used, V cannot be DD33A lower than V DDIO",1.8,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Analog part working voltage,"Use DAC, DAC output cannot be higher than V DDIO",2.4,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Analog part working voltage,"Use OPA, OPA output cannot be higher than V DDIO",1.8,3.3,3.6,V,#,conflict,"CH32H417DS0.PDF:en(p.94)+!CH32H417DS0.PDF:zh(min=2.7,typ=)",CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Analog part working voltage,"Use the ADC, V cannot DD33A be lower than V and V DDIO REFP cannot be higher than V DD33A",2.4,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Analog part working voltage,"Use the HSADC, V DD33A cannot be lower than V DDIO and V cannot be higher REFP than V DD33A",3.0,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Supply voltage,f_S < 2MHz,2.7,,3.6,V,#,conflict,CH32H417DS0.PDF:en(p.134)+!CH32H417DS0.PDF:zh(min=3),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33A,Supply voltage,f_S ≥ 2MHz,3,,3.6,V,#,reference,CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DDIO,I/O pin voltage when using HSADC,,VREFP,,,V,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DDIO,Working voltage of some conventional I/O pins,V cannot be higher than DDIO V DD33,1.65,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DDK,Core operating voltage,,1.17,1.2,1.27,V,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_HSEH,XI input pin high voltage,,0.8*VDDIO,,VDDIO,V,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_HSEL,XI input pin low voltage,,0,,0.2*VDDIO,V,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_IH,"FT I/O pin, input high voltage","V*_IO_HSLV = 0, And V = 3.3V *",1.9,,5.0,V,#,confirmed,CH32H417DS0.PDF:zh(p.90)+CH32H417DS0.PDF:en(p.104),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_IH,"Standard I/O pin, input high voltage","V*_IO_HSLV = 0, and V = 3.3V *",1.9,,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.90)+CH32H417DS0.PDF:en(p.104),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_IL,"Standard I/O pin, input low level voltage","V*_IO_HSLV = 0, and V = 3.3V *",-0.3,,0.9,V,#,confirmed,CH32H417DS0.PDF:zh(p.90)+CH32H417DS0.PDF:en(p.104),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_IO18,Working voltage of some high-speed I/O pins,V cannot be higher than IO18 V DDIO,1.1,,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_LSEH,OSC32_IN input pin high level voltage,,0.8*VDD33,,VDD33,V,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_LSEL,OSC32_IN input pin low voltage,,0,,0.2*VDD33,V,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_OUT_MAX,,V = 3.3V REFP,3.29,,3.3,V,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_OUT_MAX,,V = 3.3V REFP,3.295,,3.3,V,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_OUT_MIN,"Buffer on, 12-bit DAC conversion",,0,,8,mV,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_OUT_MIN,"Buffer off, 12-bit DAC conversion",,0,,3,mV,#,reference,CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_REFP,"Positive reference voltage of ADC, HSADC and DAC modules",V cannot be higher than REFP V DD33A,2.4,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.82)+CH32H417DS0.PDF:en(p.94),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_REFP,Positive reference voltage,V ≤ V REFP DD33A,2.4,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_REFP,Positive reference voltage,V ≤ V REFP DD33A,2.4,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_REFP,Positive reference voltage,V ≤ V REFP DD33A,2.4,3.3,3.6,V,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,f_ADC,ADC clock frequency,,,14,80,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,f_HSADC,ADC clock frequency,,,100,,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,f_S,Sampling rate,,0.06,,5,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,f_S,Sampling rate,,,20,,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,f_TRIG,External trigger frequency,f = 14MHz ADC,,,875,kHz,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,f_TRIG,External trigger frequency,f = 80MHz ADC,,,4.4,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.134),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,g_m,Oscillator transconductance,Startup,,26,,mA/V,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,g_m,Oscillator transconductance,Startup,,30,,uA/V,#,reference,CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,i_2,LSE drive current,,,0.35,,uA,#,reference,CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CAL,Calibration time,,,1,,us,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CAL,Calibration time,f = 14MHz ADC,2,,,us,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CONV,Total conversion time (including sampling time),,14,,252,1/fADC,#,confirmed,CH32H417DS0.PDF:zh(p.120)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CONV,Total conversion time (including sampling time),,16,,252,1/fADC,#,confirmed,CH32H417DS0.PDF:zh(p.120)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CONV,Total conversion time (including sampling time),,,5,,1/fHSADC,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CONV,Total conversion time (including sampling time),f = 14MHz ADC,1,,18,us,#,confirmed,CH32H417DS0.PDF:zh(p.120)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CONV,Total conversion time (including sampling time),f = 80MHz ADC,0.2,,3.15,us,#,confirmed,CH32H417DS0.PDF:zh(p.120)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_CONV,Total conversion time (including sampling time),f = HSADC 100MHz,,50,,ns,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_Iat,Injection-triggered conversion delay,,,,2,1/fADC,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_Iat,Injection-triggered conversion delay,f = 14MHz ADC,,,0.143,us,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_Iat,Injection-triggered conversion delay,f = 80MHz ADC,,,0.025,us,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_Iatr,Conventional trigger conversion delay,,,,2,1/fADC,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_Iatr,Conventional trigger conversion delay,f = 14MHz ADC,,,0.143,us,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_Iatr,Conventional trigger conversion delay,f = 80MHz ADC,,,0.025,us,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_LOCK,PLL lock time,,,40,90,us,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_RET,Data retention period,,20,,,Years,#,reference,CH32H417DS0.PDF:en(p.104),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_STAB,Power-on time,,,,1,us,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_STAB,Power-on time,,,,1,us,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_SU(HSE),Startup time,"V stabilization, 25M DD33 crystal",,1.5,,ms,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_SU(HSI),HSI oscillator startup stabilization time,,,10,,us,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_SU(LSE),Startup time,V stabilization DD33,,800,,mS,#,reference,CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_SU(LSI),LSI oscillator startup stabilization time,,,230,,us,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_erase_32k,Block erase time,"DBMODE = 0, single 32K bytes",,3,10,ms,#,confirmed,CH32H417DS0.PDF:zh(p.90)+CH32H417DS0.PDF:en(p.104),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,t_erase_32k,Block erase time,"DBMODE = 1, single 64K bytes",,,,ms,#,confirmed,CH32H417DS0.PDF:zh(p.90)+CH32H417DS0.PDF:en(p.104),CH32H417DS0.PDF
